series_id        	lfst_code	periodicity_code	series_title	absn_code	activity_code	ages_code	cert_code	class_code	duration_code	education_code	entr_code	expr_code	hheader_code	hour_code	indy_code	jdes_code	look_code	mari_code	mjhs_code	occupation_code	orig_code	pcts_code	race_code	rjnw_code	rnlf_code	rwns_code	seek_code	sexs_code	tdat_code	vets_code	wkst_code	born_code	chld_code	disa_code	seasonal	tlwk_code	footnote_codes	begin_year	begin_period	end_year	end_period
LNS11000005      	10	M	(Seas) Civilian Labor Force Level - White Women	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	2	00	00	00	00	00	00	S	00		1954	M01	2026	M06
LNS11000005Q     	10	Q	(Seas) Civilian Labor Force Level - White Women	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	2	00	00	00	00	00	00	S	00		1954	Q01	2026	Q02
LNS11000006      	10	M	(Seas) Civilian Labor Force Level - Black or African American	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	0	00	00	00	00	00	00	S	00		1972	M01	2026	M06
LNS11000006Q     	10	Q	(Seas) Civilian Labor Force Level - Black or African American	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	0	00	00	00	00	00	00	S	00		1972	Q01	2026	Q02
LNS11000007      	10	M	(Seas) Civilian Labor Force Level - Black or African American Men	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	1	00	00	00	00	00	00	S	00		1972	M01	2026	M06
LNS11000007Q     	10	Q	(Seas) Civilian Labor Force Level - Black or African American Men	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	1	00	00	00	00	00	00	S	00		1972	Q01	2026	Q02
LNS11000008      	10	M	(Seas) Civilian Labor Force Level - Black or African American Women	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	2	00	00	00	00	00	00	S	00		1972	M01	2026	M06
LNS11000008Q     	10	Q	(Seas) Civilian Labor Force Level - Black or African American Women	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	2	00	00	00	00	00	00	S	00		1972	Q01	2026	Q02
LNS11000009      	10	M	(Seas) Civilian Labor Force Level - Hispanic or Latino	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1973	M03	2026	M06
LNS11000009Q     	10	Q	(Seas) Civilian Labor Force Level - Hispanic or Latino	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1973	Q02	2026	Q02
LNS11000012      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs.	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000012Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs.	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000013      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., Men	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000013Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., Men	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000014      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., Women	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000014Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., Women	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000015      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., White	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	0	00	00	00	00	00	00	S	00		1954	M01	2026	M06
LNS11000015Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., White	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	0	00	00	00	00	00	00	S	00		1954	Q01	2026	Q02
LNS11000016      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., White Men	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	1	00	00	00	00	00	00	S	00		1954	M01	2026	M06
LNS11000016Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., White Men	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	1	00	00	00	00	00	00	S	00		1954	Q01	2026	Q02
LNS11000017      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., White Women	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	2	00	00	00	00	00	00	S	00		1954	M01	2026	M06
LNS11000017Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., White Women	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	2	00	00	00	00	00	00	S	00		1954	Q01	2026	Q02
LNS11000018      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., Black or African American	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	0	00	00	00	00	00	00	S	00		1972	M01	2026	M06
LNS11000018Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., Black or African American	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	0	00	00	00	00	00	00	S	00		1972	Q01	2026	Q02
LNS11000019      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., Black or African American Men	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	1	00	00	00	00	00	00	S	00		1972	M01	2026	M06
LNS11000019Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., Black or African American Men	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	1	00	00	00	00	00	00	S	00		1972	Q01	2026	Q02
LNS11000020      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., Black or African American Women	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	2	00	00	00	00	00	00	S	00		1972	M01	2026	M06
LNS11000020Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., Black or African American Women	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	2	00	00	00	00	00	00	S	00		1972	Q01	2026	Q02
LNS11000021      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., Hispanic or Latino	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		2003	M01	2026	M06
LNS11000021Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., Hispanic or Latino	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		2010	Q01	2026	Q02
LNS11000022      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., Hispanic or Latino, Men	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		2003	M01	2026	M06
LNS11000022Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., Hispanic or Latino, Men	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		2010	Q01	2026	Q02
LNS11000023      	10	M	(Seas) Civilian Labor Force Level - 16-19 yrs., Hispanic or Latino, Women	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		2003	M01	2026	M06
LNS11000023Q     	10	Q	(Seas) Civilian Labor Force Level - 16-19 yrs., Hispanic or Latino, Women	0	0	08	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		2010	Q01	2026	Q02
LNS11000024      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000024Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000025      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, Men	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000025Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, Men	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000026      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, Women	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000026Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, Women	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000027      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, White	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	0	00	00	00	00	00	00	S	00		1954	M01	2026	M06
LNS11000027Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, White	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	0	00	00	00	00	00	00	S	00		1954	Q01	2026	Q02
LNS11000028      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, White Men	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	1	00	00	00	00	00	00	S	00		1954	M01	2026	M06
LNS11000028Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, White Men	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	1	00	00	00	00	00	00	S	00		1954	Q01	2026	Q02
LNS11000029      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, White Women	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	2	00	00	00	00	00	00	S	00		1954	M01	2026	M06
LNS11000029Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, White Women	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	01	00	00	00	00	2	00	00	00	00	00	00	S	00		1954	Q01	2026	Q02
LNS11000030      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, Black or African American	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	0	00	00	00	00	00	00	S	00		1972	M01	2026	M06
LNS11000030Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, Black or African American	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	0	00	00	00	00	00	00	S	00		1972	Q01	2026	Q02
LNS11000031      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, Black or African American Men	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	1	00	00	00	00	00	00	S	00		1972	M01	2026	M06
LNS11000031Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, Black or African American Men	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	1	00	00	00	00	00	00	S	00		1972	Q01	2026	Q02
LNS11000032      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, Black or African American Women	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	2	00	00	00	00	00	00	S	00		1972	M01	2026	M06
LNS11000032Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, Black or African American Women	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	03	00	00	00	00	2	00	00	00	00	00	00	S	00		1972	Q01	2026	Q02
LNS11000033      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, Hispanic or Latino	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		2003	M01	2026	M06
LNS11000033Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, Hispanic or Latino	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		2010	Q01	2026	Q02
LNS11000034      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, Hispanic or Latino, Men	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		2003	M01	2026	M06
LNS11000034Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, Hispanic or Latino, Men	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		2010	Q01	2026	Q02
LNS11000035      	10	M	(Seas) Civilian Labor Force Level - 20 yrs. & over, Hispanic or Latino, Women	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		2003	M01	2026	M06
LNS11000035Q     	10	Q	(Seas) Civilian Labor Force Level - 20 yrs. & over, Hispanic or Latino, Women	0	0	17	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	01	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		2010	Q01	2026	Q02
LNS11000036      	10	M	(Seas) Civilian Labor Force Level - 20-24 yrs.	0	0	20	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000036Q     	10	Q	(Seas) Civilian Labor Force Level - 20-24 yrs.	0	0	20	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000037      	10	M	(Seas) Civilian Labor Force Level - 20-24 yrs., Men	0	0	20	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000037Q     	10	Q	(Seas) Civilian Labor Force Level - 20-24 yrs., Men	0	0	20	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000038      	10	M	(Seas) Civilian Labor Force Level - 20-24 yrs., Women	0	0	20	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000038Q     	10	Q	(Seas) Civilian Labor Force Level - 20-24 yrs., Women	0	0	20	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000048      	10	M	(Seas) Civilian Labor Force Level - 25 yrs. & over	0	0	28	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000048Q     	10	Q	(Seas) Civilian Labor Force Level - 25 yrs. & over	0	0	28	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000049      	10	M	(Seas) Civilian Labor Force Level - 25 yrs. & over, Men	0	0	28	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000049Q     	10	Q	(Seas) Civilian Labor Force Level - 25 yrs. & over, Men	0	0	28	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000050      	10	M	(Seas) Civilian Labor Force Level - 25 yrs. & over, Women	0	0	28	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000050Q     	10	Q	(Seas) Civilian Labor Force Level - 25 yrs. & over, Women	0	0	28	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000060      	10	M	(Seas) Civilian Labor Force Level - 25-54 yrs.	0	0	33	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000060Q     	10	Q	(Seas) Civilian Labor Force Level - 25-54 yrs.	0	0	33	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000061      	10	M	(Seas) Civilian Labor Force Level - 25-54 yrs., Men	0	0	33	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000061Q     	10	Q	(Seas) Civilian Labor Force Level - 25-54 yrs., Men	0	0	33	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000062      	10	M	(Seas) Civilian Labor Force Level - 25-54 yrs., Women	0	0	33	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000062Q     	10	Q	(Seas) Civilian Labor Force Level - 25-54 yrs., Women	0	0	33	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000086      	10	M	(Seas) Civilian Labor Force Level - 16-17 yrs.	0	0	07	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000086Q     	10	Q	(Seas) Civilian Labor Force Level - 16-17 yrs.	0	0	07	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000088      	10	M	(Seas) Civilian Labor Force Level - 18-19 yrs.	0	0	13	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000088Q     	10	Q	(Seas) Civilian Labor Force Level - 18-19 yrs.	0	0	13	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000089      	10	M	(Seas) Civilian Labor Force Level - 25-34 yrs.	0	0	31	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000089Q     	10	Q	(Seas) Civilian Labor Force Level - 25-34 yrs.	0	0	31	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000091      	10	M	(Seas) Civilian Labor Force Level - 35-44 yrs.	0	0	38	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000091Q     	10	Q	(Seas) Civilian Labor Force Level - 35-44 yrs.	0	0	38	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000093      	10	M	(Seas) Civilian Labor Force Level - 45-54 yrs.	0	0	42	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000093Q     	10	Q	(Seas) Civilian Labor Force Level - 45-54 yrs.	0	0	42	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	0	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000150      	10	M	(Seas) Civilian Labor Force Level - Married Men	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	02	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1955	M01	2026	M06
LNS11000150Q     	10	Q	(Seas) Civilian Labor Force Level - Married Men	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	02	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1955	Q01	2026	Q02
LNS11000152      	10	M	(Seas) Civilian Labor Force Level - 16-17 yrs., Men	0	0	07	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000152Q     	10	Q	(Seas) Civilian Labor Force Level - 16-17 yrs., Men	0	0	07	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000154      	10	M	(Seas) Civilian Labor Force Level - 18-19 yrs., Men	0	0	13	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000154Q     	10	Q	(Seas) Civilian Labor Force Level - 18-19 yrs., Men	0	0	13	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000164      	10	M	(Seas) Civilian Labor Force Level - 25-34 yrs., Men	0	0	31	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000164Q     	10	Q	(Seas) Civilian Labor Force Level - 25-34 yrs., Men	0	0	31	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000173      	10	M	(Seas) Civilian Labor Force Level - 35-44 yrs., Men	0	0	38	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000173Q     	10	Q	(Seas) Civilian Labor Force Level - 35-44 yrs., Men	0	0	38	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000182      	10	M	(Seas) Civilian Labor Force Level - 45-54 yrs., Men	0	0	42	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	M01	2026	M06
LNS11000182Q     	10	Q	(Seas) Civilian Labor Force Level - 45-54 yrs., Men	0	0	42	00	00	000	00	0	0	00	00	0000	0	00	00	00	0000	00	00	00	00	00	00	00	1	00	00	00	00	00	00	S	00		1948	Q01	2026	Q02
LNS11000315      	10	M	(Seas) Civilian Labor Force Level - Married Women	0	0	00	00	00	000	00	0	0	00	00	0000	0	00	02	00	0000	00	00	00	00	00	00	00	2	00	00	00	00	00	00	S	00		1955	M01	2026	M06
