indy_code	indy_text
4067	Wholesale and retail trade
4068	Wholesale trade
4069	Durable goods
4070	Motor vehicle and motor vehicle parts and supplies merchant wholesalers
4080	Furniture and home furnishing, merchant wholesalers
4090	Lumber and other construction materials, merchant wholesalers
4170	Professional and commercial equipment and supplies, merchant wholesalers
4180	Metal and mineral, except petroleum, merchant wholesalers
4190	Electrical goods, merchant wholesalers
4195	Household appliances and electrical and electronic goods merchant wholesalers
4260	Hardware, plumbing and heating equipment, and supplies, merchant wholesalers
4265	Hardware, plumbing and heating equipment, and supplies, merchant wholesalers
4270	Machinery, equipment, and supplies, merchant wholesalers
4280	Recyclable material, merchant wholesalers
4290	Miscellaneous durable goods, except recyclable material, merchant wholesalers
4369	Nondurable goods
4370	Paper and paper product merchant wholesalers
4380	Drugs, druggists' sundries, and chemical and allied products merchant wholesalers
4390	Apparel, piece goods, and notions merchant wholesalers
4470	Grocery and related product merchant wholesalers
4480	Farm product raw material merchant wholesalers
4490	Petroleum and petroleum products, merchant wholesalers
4560	Beer, wine, and distilled alcoholic beverage merchant wholesalers
4570	Farm supplies, merchant wholesalers
4580	Miscellaneous nondurable goods merchant, except farm supplies, wholesalers
4585	Wholesale trade agents and brokers
4590	Not specified wholesale trade
4669	Retail trade
4670	Automobile dealers
4680	Other motor vehicle dealers
4681	Other motor vehicle dealers
4690	Automotive parts, accessories, and tire stores
4691	Automotive parts, accessories, and tire retailers
4770	Furniture and home furnishings stores
4771	Furniture and home furnishings retailers
4780	Household appliance stores
4790	Radio, TV, and computer stores
4795	Electronics stores
4796	Electronics and appliance retailers
4870	Building material and supplies dealers
4871	Building material and supplies dealers, except hardware retailers
4880	Hardware stores
4881	Hardware retailers
4890	Lawn and garden equipment and supplies stores
4891	Lawn and garden equipment and supplies retailers
4970	Grocery stores
4971	Supermarkets and other grocery (except convenience) retailers
4972	Convenience stores
4973	Convenience retailers and vending machine operators
4980	Specialty food stores
4981	Specialty food retailers
4990	Beer, wine, and liquor stores
4991	Beer, wine, and liquor retailers
5070	Pharmacies and drug stores
5071	Pharmacies and drug retailers
5080	Health and personal care, except drug, stores
5081	Health and personal care, except pharmacies and drug, retailers
5090	Gasoline stations
5170	Clothing and accessories, except shoe, stores
5171	Clothing and clothing accessories retailers
5180	Shoe stores
5181	Shoe retailers
5190	Jewelry, luggage, and leather goods stores
5191	Jewelry, luggage, and leather goods retailers
5270	Sporting goods, camera, and hobby and toy stores
5275	Sporting goods, and hobby and toy stores
5276	Sporting goods, and hobby, toy, and game retailers
5280	Sewing, needlework, and piece goods stores
5281	Sewing, needlework, and piece goods retailers
5290	Music stores
5295	Musical instrument and supplies stores
5296	Musical instrument and supplies retailers
5370	Book stores and news dealers
5371	Book retailers and news dealers
5380	Department stores and discount stores
5381	Department stores
5382	Department stores
5390	Miscellaneous general merchandise stores
5391	General merchandise stores, including warehouse clubs and supercenters
5392	Warehouse clubs, supercenters, and other general merchandise retailers
5470	Florists
5471	Florists
5480	Office supplies and stationery stores
5481	Office supplies and stationery retailers
5490	Used merchandise stores
5491	Used merchandise retailers
5570	Gift, novelty, and souvenir shops
5571	Gift, novelty, and souvenir retailers
5580	Miscellaneous retail stores
5581	Other miscellaneous retailers
5590	Electronic shopping
5591	Electronic auctions
5592	Mail-order houses
5593	Electronic shopping and mail-order houses
5670	Vending machine operators
5680	Fuel dealers
5690	Other direct selling establishments
5790	Not specified retail trade
5791	Not specified retail trade
6068	Transportation and utilities
6069	Transportation and warehousing
6070	Air transportation
6080	Rail transportation
6090	Water transportation
6170	Truck transportation
6180	Transit and ground passenger transportation, except taxi and limousine service
6190	Taxi and limousine service
6270	Pipeline transportation
6280	Scenic and sightseeing transportation
6290	Support activities for transportation
6370	Postal Service
6380	Couriers and messengers
6390	Warehousing and storage
6468	Information
6469	Publishing, except Internet
6470	Newspaper publishers
6471	Newspaper publishers
6480	Periodical, book, and directory publishers
6481	Periodical, book, and directory and mailing list, and other publishers
6490	Software publishers
6569	Motion pictures and sound recording industries
6570	Motion pictures and video industries
6590	Sound recording industries
6670	Broadcasting (except internet)
6671	Broadcasting and content providers
6672	Internet publishing and broadcasting and web search portals
6675	Internet publishing and broadcasting
6679	Telecommunications
6680	Wired telecommunications carriers
6690	Telecommunications, except wired telecommunications carriers
6691	Internet service providers and data processing services
6692	Internet service providers
6695	Computing infrastructure providers, data processing, web hosting, and related services
6769	Libraries, archives, and other information services
6770	Libraries and archives
6780	Other information services
6781	Web search portals and all other information services
6867	Financial activities
6868	Finance and insurance
6869	Finance
6870	Banking and related activities
6871	Monetary authorities-central bank, and commercial banking
6880	Savings institutions, including credit unions
6881	Credit unions, and savings institutions and other depository credit intermediation
6890	Nondepository credit intermediation and related activities
6970	Securities, commodities, funds, trusts, and other financial investments
6990	Insurance carriers and related activities
6991	Insurance carriers
6992	Agencies, brokerages, and other insurance related activities
7069	Real estate and rental and leasing
7070	Real estate
7071	Lessors of real estate, and offices of real estate agents and brokers
7072	Activities related to real estate
7079	Rental and leasing services
7080	Automotive equipment rental and leasing
7170	Video tape and disk rental
7180	Other consumer goods rental
7181	Consumer goods rental, and general rental centers
7190	Commercial and industrial machinery and equipment, and nonfinancial intangible assets rental and lea
7268	Professional and business services
7269	Professional and technical services
7270	Legal services
7280	Accounting, tax preparation, bookkeeping, and payroll services
7290	Architectural, engineering, and related services
7370	Specialized design services
7380	Computer systems design and related services
7390	Management, scientific, and technical consulting services
7460	Scientific research and development services
7470	Advertising, public relations, and related services
7480	Veterinary services
7490	Other professional, scientific, and technical, except veterinary, services
7569	Management, administrative, and waste services
7570	Management of companies and enterprises
7579	Administrative and support services
7580	Employment services
7590	Business support services
7670	Travel arrangements and reservation services
7680	Investigation and security services
7690	Services to buildings and dwellings, except landscaping services
7770	Landscaping services
7780	Other administrative and other support services
7790	Waste management and remediation services
7858	Education and health services
7859	Educational services
7860	Elementary and secondary schools
7870	Junior colleges, colleges, universities, and professional schools
7880	Business, trade and technical schools, and computer and management training
7890	Other schools, instruction, and educational services
7968	Health care and social assistance
7969	Health service, except hospitals
7970	Offices of physicians
7980	Offices of dentists
7990	Offices of chiropractors
8070	Offices of optometrists
8080	Offices of other health practitioners
8090	Outpatient care centers
8170	Home health care services
8180	Other health care services
8190	Hospitals
8191	General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospi
8192	Psychiatric and substance abuse hospitals
8270	Nursing care facilities (skilled nursing facilities)
8290	Residential care facilities, except skilled nursing facilities
8369	Social assistance
8370	Individual and family services
8380	Community food and housing, and emergency and other relief services
8390	Vocational rehabilitation services
8470	Child care services
8558	Leisure and hospitality
8559	Arts, entertainment, and recreation
8560	Performing arts, spectator sports, and related industries
8561	Performing arts companies
8562	Spectator sports
8563	Promoters of performing arts, sports, and similar events, agents and managers for artists, athletes,
8564	Independent artists, writers, and performers
8570	Museums, historical sites, and similar institutions
8580	Bowling centers
8590	Other amusement, gambling, and recreation industries
8658	Accommodation and food services
8659	Accommodation
8660	Traveler accommodation
8670	Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' cam
8679	Food services and drinking places
8680	Food services and drinking places, except alcoholic beverages
8690	Drinking places, alcoholic beverages
8767	Other services
8768	Other services, except private households
8769	Repair and maintenance
8770	Automotive repair and maintenance, except car washes
8780	Car washes
8790	Electronic and precision equipment repair and maintenance
8870	Commercial and industrial machinery and equipment repair and maintenance
8880	Personal and household goods repair and maintenance
8890	Footwear and leather goods repair
8891	Personal and household goods repair and maintenance
8969	Personal and laundry services
8970	Barber shops
8980	Beauty salons
8990	Nail salons and other personal care services
9070	Dry cleaning and laundry services
9080	Death care services
9090	Other personal services
9159	Membership associations and organizations
9160	Religious organizations
9170	Civic, social, advocacy organizations, and grant making and giving services
9180	Labor unions and similar labor organizations
9190	Business, professional, political, and similar organizations
9290	Private households
9369	Public administration
9370	Executive offices and legislative bodies
9380	Public finance activities
9390	Other general government and support
9470	Justice, public order, and safety activities
9480	Administration of human resource programs
9490	Administration of environmental quality, and housing programs, urban planning and community developm
9570	Administration of economic programs and space research and technology
9590	National security and international affairs
9600	Other industries
9890	Armed Forces
